cd,name,lat,lng,type
1110615,東鹿越,43.164011,142.523472,1
1110616,幾寅,43.161582,142.569474,1
1110617,落合,43.125055,142.669104,1
1110618,新得,43.082501,142.832432,1
1110702,十勝清水,43.012892,142.879535,1
1110703,羽帯,42.957497,142.906675,2
1110704,御影,42.942418,142.935739,1
1110705,芽室,42.909846,143.047991,1
1110706,大成,42.918662,143.071241,1
1110707,西帯広,42.923941,143.126351,1
1110708,柏林台,42.928877,143.1645,1
1110709,帯広,42.917997,143.20195,1
1110710,札内,42.912697,143.256248,1
1110711,稲士別,42.903963,143.297528,2
1110712,幕別,42.90784,143.359293,1
1110713,利別,42.934706,143.424445,1
1110714,池田,42.922186,143.453033,1
1110715,十弗,42.855781,143.500797,1
1110716,豊頃,42.817548,143.538615,1
1110717,新吉野,42.778238,143.60826,1
1110718,浦幌,42.810849,143.651568,1
1110719,上厚内,42.831881,143.749788,2
1110720,厚内,42.809539,143.814389,1
1110721,直別,42.852205,143.863607,2
1110722,尺別,42.869163,143.904331,2
1110723,音別,42.888997,143.932442,1
1110724,古瀬,42.947893,144.008589,2
1110725,白糠,42.956161,144.076879,1
1110726,西庶路,42.976138,144.129826,1
1110727,庶路,42.983601,144.150018,1
1110728,大楽毛,43.009078,144.273879,1
1110729,新大楽毛,43.009423,144.295558,1
1110730,新富士,43.001605,144.350758,1
1110731,釧路,42.990584,144.381983,1
1110802,東釧路,42.995207,144.411307,1
1110803,武佐,42.991364,144.426681,1
1110804,別保,42.994384,144.469596,1
1110805,上尾幌,43.032893,144.61239,1
1110806,尾幌,43.018463,144.703758,1
1110807,門静,43.057581,144.782638,1
1110808,厚岸,43.056248,144.841355,1
1110809,糸魚沢,43.103506,144.92545,1
1110810,茶内,43.129266,145.02801,1
1110811,浜中,43.15754,145.099657,1
1110812,姉別,43.196201,145.194716,1
1110813,厚床,43.228224,145.252096,1
1110814,初田牛,43.204542,145.32277,2
1110815,別当賀,43.218427,145.423593,1
1110816,落石,43.198335,145.519449,1
1110817,昆布盛,43.228593,145.542444,1
1110818,西和田,43.268043,145.541817,1
1110819,花咲,43.295388,145.575045,2
1110820,東根室,43.323655,145.597234,1
1110821,根室,43.326923,145.582707,1
1110903,植苗,42.713645,141.735344,1
1110904,美々,42.777418,141.711387,2
1110905,新千歳空港,42.787546,141.680823,1
1110906,南千歳,42.80804,141.675388,1
1110907,千歳,42.82811,141.651934,1
1110908,長都,42.852178,141.622987,1
1110909,サッポロビール庭園,42.866812,141.605616,1
1110910,恵庭,42.883076,141.586234,1
1110911,恵み野,42.902704,141.574429,1
1110912,島松,42.922504,141.573117,1
1110913,北広島,42.979239,141.563115,1
